Progressions,Modifier,Reps (10-15),Sets (3),Weight,Muscle Group Targeted
Pike shrugs,,,,,
Pike pushups,,,,,
standing overhand stretch,,,,,
Pike shoulder taps,,,,,
Pike waist taps,,,,,
chest to wall handstand,,,,,
chest to wall pushup,,,,,
back to wall handstand,,,,,
back to wall pushup,,,,,
free standing handstand,,,,,
free standing pushup,,,,,
